FACT_1     1964-02-09 1964-03-11 73  36,62   1964-03-11 
FACT_2     1964-03-12 1964-04-12 73  51,46   1964-04-12 
FACT_3     1964-04-13 1964-05-14 73  53,72   1964-05-14 
FACT_4     1964-05-15 1964-06-15 73  43,72   1964-06-15 
FACT_5     1964-06-16 1964-07-17 73  65,86   1964-07-17 
FACT_6     1964-07-18 1964-08-18 73  24,85   1964-08-18 
FACT_7     1964-08-19 1964-09-19 73  67,84   1964-09-19 
FACT_8     1964-09-20 1964-10-21 73  56,4    1964-10-21 
FACT_9     2005-10-03 2005-11-03 89  43,3    2005-11-03 
FACT_10    2005-11-04 2005-12-05 89  64,99   2005-12-05 
FACT_11    2005-12-06 2006-01-06 89  47,85   2006-01-06 
FACT_12    2006-01-07 2006-02-07 89  36,86   2006-02-07 
FACT_13    2006-02-08 2006-03-11 89  18,51   2006-03-11 
FACT_14    2006-03-12 2006-04-12 89  67,04   2006-04-12 
FACT_15    1996-05-19 1996-06-19 73  18,23   1996-06-19 
FACT_16    1996-06-20 1996-07-21 73  64,0    1996-07-21 
FACT_17    1996-07-22 1996-08-22 73  62,61   1996-08-22 
FACT_18    1996-08-23 1996-09-23 73  34,54   1996-09-23 
FACT_19    1996-09-24 1996-10-25 73  60,43   1996-10-25 
FACT_20    1996-10-26 1996-11-26 73  30,3    1996-11-26 
FACT_21    1996-11-27 1996-12-28 73  44,57   1996-12-28 
FACT_22    1996-12-29 1997-01-29 73  40,74   1997-01-29 
FACT_23    2001-01-22 2001-02-22 93  21,21   2001-02-22 
FACT_24    2001-02-23 2001-03-26 93  43,5    2001-03-26 
FACT_25    2001-03-27 2001-04-27 93  22,35   2001-04-27 
FACT_26    2007-04-02 2007-05-03 78  47,02   2007-05-03 
FACT_27    2007-05-04 2007-06-04 78  40,69   2007-06-04 
FACT_28    2007-06-05 2007-07-06 78  53,84   2007-07-06 
FACT_29    2007-07-07 2007-08-07 78  66,47   2007-08-07 
FACT_30    2007-08-08 2007-09-08 78  44,31   2007-09-08 
FACT_31    2007-09-09 2007-10-10 78  55,32   2007-10-10 
FACT_32    2007-10-11 2007-11-11 78  51,32   2007-11-11 
FACT_33    2007-11-12 2007-12-13 78  51,95   2007-12-13 
FACT_34    1964-07-20 1964-08-20 36  37,49   1964-08-20 
FACT_35    1964-08-21 1964-09-21 36  47,85   1964-09-21 
FACT_36    1997-08-03 1997-09-03 47  38,52   1997-09-03 
FACT_37    1997-09-04 1997-10-05 47  40,44   1997-10-05 
FACT_38    1997-10-06 1997-11-06 47  29,2    1997-11-06 
FACT_39    1997-11-07 1997-12-08 47  58,34   1997-12-08 
FACT_40    1997-12-09 1998-01-09 47  29,16   1998-01-09 
FACT_41    1967-09-25 1967-10-26 73  17,94   1967-10-26 
FACT_42    1967-10-27 1967-11-27 73  26,58   1967-11-27 
FACT_43    1967-11-28 1967-12-29 73  41,2    1967-12-29 
FACT_44    1967-12-30 1968-01-30 73  54,61   1968-01-30 
FACT_45    2007-02-19 2007-03-22 43  44,19   2007-03-22 
FACT_46    2007-03-23 2007-04-23 43  47,67   2007-04-23 
FACT_47    2007-04-24 2007-05-25 43  60,25   2007-05-25 
FACT_48    1975-05-12 1975-06-12 9   13,49   1975-06-12 
FACT_49    1975-06-13 1975-07-14 9   43,9    1975-07-14 
FACT_50    1975-07-15 1975-08-15 9   60,36   1975-08-15 
FACT_51    1975-08-16 1975-09-16 9   51,54   1975-09-16 
FACT_52    1975-09-17 1975-10-18 9   69,21   1975-10-18 
FACT_53    1975-10-19 1975-11-19 9   42,57   1975-11-19 
FACT_54    1975-11-20 1975-12-21 9   29,97   1975-12-21 
FACT_55    1975-12-22 1976-01-22 9   58,3    1976-01-22 
FACT_56    2013-11-24 2013-12-25 91  60,23   2013-12-25 
FACT_57    2013-12-26 2014-01-26 91  50,35   2014-01-26 
FACT_58    1977-02-14 1977-03-17 79  61,25   1977-03-17 
FACT_59    1977-03-18 1977-04-18 79  23,39   1977-04-18 
FACT_60    1977-04-19 1977-05-20 79  33,1    1977-05-20 
FACT_61    1977-05-21 1977-06-21 79  16,83   1977-06-21 
FACT_62    1977-06-22 1977-07-23 79  48,75   1977-07-23 
FACT_63    1977-07-24 1977-08-24 79  33,56   1977-08-24 
FACT_64    1966-11-24 1966-12-25 37  13,58   1966-12-25 
FACT_65    1966-12-26 1967-01-26 37  46,79   1967-01-26 
FACT_66    1967-01-27 1967-02-27 37  56,56   1967-02-27 
FACT_67    1967-02-28 1967-03-31 37  29,12   1967-03-31 
FACT_68    1967-04-01 1967-05-02 37  40,61   1967-05-02 
FACT_69    1967-05-03 1967-06-03 37  23,49   1967-06-03 
FACT_70    1967-06-04 1967-07-05 37  54,3    1967-07-05 
